"Name","Address > Postal Code","Entity ID","Yext ID"
"Cake Box Burton","DE14 3JX","CBS00218","34188329"
"Cake Box Canning Town","E16 1EH","CBS00220","34188330"
"Cake Box Ashton","OL6 7DF","CBS00219","34188331"
"Cake Box Dartford","DA1 2HR","CBS00221","34188332"
"Cake Box Derby Central","DE1 2NZ","CBS00222","34188333"
"Cake Box Cardiff","CF24 3RS","CBS00224","34188334"
"Cake Box Smethwick High Street","B66 1AQ","CBS00225","34188335"
"Cake Box Ashford","TN24 8TH","CBS00226","34188336"
"Cake Box Dagenham","RM10 7YA","CBS00228","34188337"
"Cake Box Wellingborough","NN8 1EY","CBS00229","34188338"
"Cake Box Portsmouth","PO2 0LN","CBS00230","34188339"
"Cake Box Huddersfield","HD1 2AZ","CBS00231","34188340"
"Cake Box Greenford","UB6 8SJ","CBS00232","34188341"
"Cake Box Erdington","B23 6SN","CBS00233","34188342"
"Cake Box Swindon","SN1 1JQ","CBS00235","34188343"
"Cake Box Hemel Hempstead","HP1 1DX","CBS00236","34188344"
"Cake Box Orpington","BR6 0NN","CBS00237","34188345"
"Cake Box Chatham","ME4 4BA","CBS00239","34188346"
"Cake Box Basingstoke","RG21 7NE","CBS00238","34188347"
"Cake Box Staines","TW18 1BB","CBS00240","34188348"
"Cake Box Tolworth","KT6 7DJ","CBS00242","34188349"
"Cake Box Cricklewood","NW2 3EB","CBS00243","34188350"
"Cake Box Hove","BN3 3YB","CBS00246","34188351"
"Cake Box Corby","NN17 1NG","CBS00245","34188352"
"Cake Box Ipswich","IP11HA","CBS00247","34188353"
"Cake Box Newport","NP20 1HP","CBS00248","34188354"
"Cake Box Sutton","SM1 1NU","CBS00249","34188355"
"Cake Box Borehamwood","WD6 1EB","CBS00251","34188356"
"Cake Box Epsom","KT17 4RA","CBS00250","34188357"
"Cake Box Twickenham","TW2 7LN","CBS00252","34188358"
"Cake Box Nuneaton","CV11 5TZ","CBS00253","34188359"
"Cake Box Romford","RM1 1RA","CBS00255","34188360"
"Cake Box Walworth","SE17 2AW","CBS00254","34188361"
"Cake Box Gloucester","GL1 2AN","CBS00256","34188362"
"Cake Box Harpurhey","M9 4DH","CBS00257","34188363"
"Cake Box Clapton","E5 0NP","CBS00259","34188364"
"Cake Box Acton","W3 9BY","CBS00258","34188365"
"Cake Box Brixton","SW9 6AQ","CBS00260","34188366"
"Cake Box Colchester","CO2 7AH","CBS00261","34188367"
"Cake Box Newbury","RG14 1DJ","CBS00262","34188368"
"Cake Box Dalston","E8 4AH","CBS00263","34188369"
"Cake Box Lozells","B19 1HA","CBS00264","34188370"
"Cake Box Fulham","SW6 1NS","CBS00265","34188371"
"Cake Box Eastleigh","SO50 5RG","CBS00266","34188372"
"Cake Box Stevenage","SG1 1EH","CBS00267","34188373"
"Cake Box Hull","HU5 2AL","CBS00268","34188374"
"Cake Box Sidcup","DA14 6DS","CBS00269","34188375"
"Cake Box Stockwell","SW8 2LA","CBS00270","34188376"
"Cake Box Edgware","HA8 7HE","CBS00271","34188377"
"Cake Box Chelmsford","CM1 1XA","CBS00273","34188378"
"Cake Box Grays","RM17 5RZ","CBS00272","34188379"
"Cake Box Golders Green","NW11 7PH","CBS00275","34188380"
"Cake Box Bournemouth","BH6 3QS","CBS00274","34188381"
"Cake Box Sunderland","SR1 3DH","CBS00276","34188382"
"Cake Box Peckham","SE15 4TT","CBS00277","34188383"
"Cake Box Chingford","E4 6SJ","CBS00278","34188384"
"Cake Box Penge","SE20 7DS","CBS00279","34188385"
"Cake Box Shirley","B90 3AL","CBS00280","34188386"
"Cake Box Boston","PE21 7NX","CBS00281","34188387"
"Cake Box Farnborough","GU14 7RZ","CBS00282","34188388"
"Cake Box Tottenham","N17 8EY","CBS00284","34188389"
"Cake Box Perry Barr","B42 1AA","CBS00283","34188390"
"Cake Box Worcester","WR1 3LY","CBS00287","34188391"
"Cake Box Plymouth","PL1 1LR","CBS00285","34188392"
